Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Country,Customer,CustomerName,CustomerName (copy),Date,DealCategory,DealSize,Month,Month ,Order Quarter,Order Year,OrderDate,Phone,Postalcode,Productcode,Products,Quarter,Quarter (Sheet11),Sales (bin),SalesCategory,State,Status,Territory,Year,Year (Sheet11),CustomerGroup,Msrp,Orderlinenumber,Ordernumber,OrderQuantity,Sales,UnitPrice,ZeroIfNull-OrderQuantity
"Boulevard Tirou, 255",,Charleroi,Pascale,Cartrain,Belgium,Royale Belge,Royale Belge,Royale Belge,11-04-2003,Small,Small,April,4,Q2,2003,11-04-2003,(071) 23 67 2555,B-6000,S32_3207,Trains,2,Q2,$0.00M,Trains,,Shipped,EMEA,2003,2003,1,62,1,10116,27,$0.00M,63.38,27
"265, boulevard Charonne",,Paris,Marie,Bertrand,France,"La Corne D'abondance, Co.","La Corne D'abondance, Co.","La Corne D'abondance, Co.",01-04-2003,Small,Small,April,4,Q2,2003,01-04-2003,(1) 42.34.2555,75012,S32_2509,Trucks&Buses,2,Q2,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,54,2,10114,28,$0.00M,55.73,28
"265, boulevard Charonne",,Paris,Marie,Bertrand,France,"La Corne D'abondance, Co.","La Corne D'abondance, Co.","La Corne D'abondance, Co.",01-04-2003,Small,Small,April,4,Q2,2003,01-04-2003,(1) 42.34.2555,75012,S24_2300,Trucks&Buses,2,Q2,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,127,5,10114,21,$0.00M,100,21
"C/ Araquil, 67",,Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd",28-05-2003,Small,Small,May,5,Q2,2003,28-05-2003,(91) 555 22 82,28023,S32_3522,Trucks&Buses,2,Q2,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,64,7,10126,26,$0.00M,62.7,26
Geislweg 14,,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Salzburg Collectables,Salzburg Collectables,28-04-2003,Small,Small,April,4,Q2,2003,28-04-2003,6562-9555,5020,S24_3420,Vintage Cars,2,Q2,$0.00M,Vintage Cars,,Shipped,EMEA,2003,2003,1,65,5,10119,20,$0.00M,72.98,20
Geislweg 14,,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Salzburg Collectables,Salzburg Collectables,28-04-2003,Small,Small,April,4,Q2,2003,28-04-2003,6562-9555,5020,S18_3856,Vintage Cars,2,Q2,$0.00M,Vintage Cars,,Shipped,EMEA,2003,2003,1,105,8,10119,27,$0.00M,99.52,27
"C/ Araquil, 67",,Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd",28-05-2003,Small,Small,May,5,Q2,2003,28-05-2003,(91) 555 22 82,28023,S18_4668,Vintage Cars,2,Q2,$0.00M,Vintage Cars,,Shipped,EMEA,2003,2003,1,50,9,10126,43,$0.00M,53.83,43
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,27-06-2003,Small,Small,June,6,Q2,2003,27-06-2003,(91) 555 94 44,28034,S32_4289,Vintage Cars,2,Q2,$0.00M,Vintage Cars,,Shipped,EMEA,2003,2003,1,68,6,10133,49,$0.00M,57.1,49
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,27-06-2003,Small,Small,June,6,Q2,2003,27-06-2003,(91) 555 94 44,28034,S50_1341,Vintage Cars,2,Q2,$0.00M,Vintage Cars,,Shipped,EMEA,2003,2003,1,43,7,10133,27,$0.00M,50.19,27
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",16-04-2003,Small,Small,April,4,Q2,2003,16-04-2003,+65 221 7555,79903,S18_4027,Classic Cars,2,Q2,$0.00M,Classic Cars,,Shipped,Japan,2003,2003,1,143,12,10117,22,$0.00M,100,22
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",16-04-2003,Small,Small,April,4,Q2,2003,16-04-2003,+65 221 7555,79903,S72_3212,Ships,2,Q2,$0.00M,Ships,,Shipped,Japan,2003,2003,1,54,2,10117,50,$0.00M,43.68,50
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",16-04-2003,Small,Small,April,4,Q2,2003,16-04-2003,+65 221 7555,79903,S18_3259,Trains,2,Q2,$0.00M,Trains,,Shipped,Japan,2003,2003,1,100,7,10117,21,$0.00M,95.8,21
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",16-04-2003,Small,Small,April,4,Q2,2003,16-04-2003,+65 221 7555,79903,S50_1514,Trains,2,Q2,$0.00M,Trains,,Shipped,Japan,2003,2003,1,58,11,10117,21,$0.00M,49.21,21
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",16-04-2003,Small,Small,April,4,Q2,2003,16-04-2003,+65 221 7555,79903,S18_4522,Vintage Cars,2,Q2,$0.00M,Vintage Cars,,Shipped,Japan,2003,2003,1,87,4,10117,23,$0.00M,97.42,23
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S18_4933,Classic Cars,2,Q2,$0.00M,Classic Cars,NV,Shipped,NA,2003,2003,1,71,8,10124,23,$0.00M,57.73,23
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S24_2887,Classic Cars,2,Q2,$0.00M,Classic Cars,NV,Shipped,NA,2003,2003,1,117,9,10124,25,$0.00M,93.95,25
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S24_2766,Classic Cars,2,Q2,$0.00M,Classic Cars,NV,Shipped,NA,2003,2003,1,90,10,10124,32,$0.00M,72.7,32
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S24_1046,Classic Cars,2,Q2,$0.00M,Classic Cars,NV,Shipped,NA,2003,2003,1,73,12,10124,22,$0.00M,77.9,22
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,03-06-2003,Small,Small,June,6,Q2,2003,03-06-2003,2125557413,10022,S24_4048,Classic Cars,2,Q2,$0.00M,Classic Cars,NY,Shipped,NA,2003,2003,1,118,7,10127,20,$0.00M,96.99,20
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,03-06-2003,Small,Small,June,6,Q2,2003,03-06-2003,2125557413,10022,S24_1444,Classic Cars,2,Q2,$0.00M,Classic Cars,NY,Shipped,NA,2003,2003,1,57,8,10127,20,$0.00M,60.69,20
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,03-06-2003,Small,Small,June,6,Q2,2003,03-06-2003,2125557413,10022,S24_2840,Classic Cars,2,Q2,$0.00M,Classic Cars,NY,Shipped,NA,2003,2003,1,35,12,10127,39,$0.00M,38.19,39
2440 Pompton St.,,Glendale,Dan,Lewis,US,Gift Ideas Corp.,Gift Ideas Corp.,Gift Ideas Corp.,16-06-2003,Small,Small,June,6,Q2,2003,16-06-2003,2035554407,97561,S700_4002,Planes,2,Q2,$0.00M,Planes,CT,Shipped,NA,2003,2003,1,74,2,10131,26,$0.00M,85.13,26
2440 Pompton St.,,Glendale,Dan,Lewis,US,Gift Ideas Corp.,Gift Ideas Corp.,Gift Ideas Corp.,16-06-2003,Small,Small,June,6,Q2,2003,16-06-2003,2035554407,97561,S24_2841,Planes,2,Q2,$0.00M,Planes,CT,Shipped,NA,2003,2003,1,68,5,10131,35,$0.00M,67.14,35
2440 Pompton St.,,Glendale,Dan,Lewis,US,Gift Ideas Corp.,Gift Ideas Corp.,Gift Ideas Corp.,16-06-2003,Small,Small,June,6,Q2,2003,16-06-2003,2035554407,97561,S72_1253,Planes,2,Q2,$0.00M,Planes,CT,Shipped,NA,2003,2003,1,49,7,10131,21,$0.00M,41.71,21
2440 Pompton St.,,Glendale,Dan,Lewis,US,Gift Ideas Corp.,Gift Ideas Corp.,Gift Ideas Corp.,16-06-2003,Small,Small,June,6,Q2,2003,16-06-2003,2035554407,97561,S700_2047,Ships,2,Q2,$0.00M,Ships,CT,Shipped,NA,2003,2003,1,90,8,10131,22,$0.00M,85.99,22
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,03-06-2003,Small,Small,June,6,Q2,2003,03-06-2003,2125557413,10022,S32_3207,Trains,2,Q2,$0.00M,Trains,NY,Shipped,NA,2003,2003,1,62,6,10127,29,$0.00M,70.84,29
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,03-06-2003,Small,Small,June,6,Q2,2003,03-06-2003,2125557413,10022,S32_2509,Trucks&Buses,2,Q2,$0.00M,Trucks&Buses,NY,Shipped,NA,2003,2003,1,54,13,10127,45,$0.00M,51.95,45
5905 Pompton St.,Suite 750,NYC,Maria,Hernandez,US,Classic Legends Inc.,Classic Legends Inc.,Classic Legends Inc.,04-04-2003,Small,Small,April,4,Q2,2003,04-04-2003,2125558493,10022,S50_1392,Trucks&Buses,2,Q2,$0.00M,Trucks&Buses,NY,Shipped,NA,2003,2003,1,115,3,10115,27,$0.00M,100,27
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S24_2022,Vintage Cars,2,Q2,$0.00M,Vintage Cars,NV,Shipped,NA,2003,2003,1,44,1,10124,22,$0.00M,45.25,22
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S24_1937,Vintage Cars,2,Q2,$0.00M,Vintage Cars,NV,Shipped,NA,2003,2003,1,33,2,10124,45,$0.00M,37.84,45
8489 Strong St.,,Las Vegas,Sue,King,US,Signal Gift Stores,Signal Gift Stores,Signal Gift Stores,21-05-2003,Small,Small,May,5,Q2,2003,21-05-2003,7025551838,83030,S24_3969,Vintage Cars,2,Q2,$0.00M,Vintage Cars,NV,Shipped,NA,2003,2003,1,41,4,10124,46,$0.00M,33.23,46
2440 Pompton St.,,Glendale,Dan,Lewis,US,Gift Ideas Corp.,Gift Ideas Corp.,Gift Ideas Corp.,16-06-2003,Small,Small,June,6,Q2,2003,16-06-2003,2035554407,97561,S24_3420,Vintage Cars,2,Q2,$0.00M,Vintage Cars,CT,Shipped,NA,2003,2003,1,65,6,10131,29,$0.00M,59.18,29
,,,,,,,,,07-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,09-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,21-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,06-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,20-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,30-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,29-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,28-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,08-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,05-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,13-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,23-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,31-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,27-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,19-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,11-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,26-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,15-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,14-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,03-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,17-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,18-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,25-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,12-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,22-07-2003,,,,7,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,30-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,21-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,05-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,12-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,17-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,26-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,03-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,27-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,24-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,20-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,06-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,23-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,07-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,15-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,16-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,22-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,14-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,02-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,04-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,09-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,19-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,11-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,18-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,31-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,28-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,29-08-2003,,,,8,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,23-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,24-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,22-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,15-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,07-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,13-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,06-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,27-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,17-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,16-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,29-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,08-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,14-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,04-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,10-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,02-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,18-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,09-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,01-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,26-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,20-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
,,,,,,,,,30-09-2003,,,,9,,,,,,,,,Q3,,,,,,,2003,0,,,,,,,0
1 rue Alsace-Lorraine,,Toulouse,Annette,Roulet,France,Alpha Cognac,Alpha Cognac,Alpha Cognac,04-07-2003,Large,Large,July,7,Q3,2003,04-07-2003,61.77.6555,31000,S18_3232,Classic Cars,3,Q3,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,169,3,10136,41,$0.01M,100,41
31 Duncan St. West End,,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co","Australian Gift Network, Co","Australian Gift Network, Co",25-09-2003,Medium,Medium,September,9,Q3,2003,25-09-2003,61-7-3844-6555,4101,S18_4027,Classic Cars,3,Q3,$0.00M,Classic Cars,Queensland,Shipped,APAC,2003,2003,1,143,1,10152,35,$0.00M,100,35
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",11-09-2003,Medium,Medium,September,9,Q3,2003,11-09-2003,02 9936 8555,2060,S24_2887,Classic Cars,3,Q3,$0.00M,Classic Cars,NSW,Shipped,APAC,2003,2003,1,117,3,10148,34,$0.00M,100,34
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",11-09-2003,Medium,Medium,September,9,Q3,2003,11-09-2003,02 9936 8555,2060,S24_3432,Classic Cars,3,Q3,$0.00M,Classic Cars,NSW,Shipped,APAC,2003,2003,1,107,7,10148,27,$0.00M,100,27
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",11-09-2003,Medium,Medium,September,9,Q3,2003,11-09-2003,02 9936 8555,2060,S18_3685,Classic Cars,3,Q3,$0.00M,Classic Cars,NSW,Shipped,APAC,2003,2003,1,141,11,10148,28,$0.00M,100,28
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",11-09-2003,Medium,Medium,September,9,Q3,2003,11-09-2003,02 9936 8555,2060,S18_3232,Classic Cars,3,Q3,$0.01M,Classic Cars,NSW,Shipped,APAC,2003,2003,1,169,14,10148,32,$0.01M,100,32
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",11-09-2003,Medium,Medium,September,9,Q3,2003,11-09-2003,02 9936 8555,2060,S18_4409,Vintage Cars,3,Q3,$0.00M,Vintage Cars,NSW,Shipped,APAC,2003,2003,1,92,1,10148,34,$0.00M,100,34
"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Souveniers And Things Co.,Souveniers And Things Co.,16-07-2003,Medium,Medium,July,7,Q3,2003,16-07-2003,+61 2 9495 8555,2067,S24_4258,Vintage Cars,3,Q3,$0.00M,Vintage Cars,NSW,Shipped,APAC,2003,2003,1,97,4,10139,29,$0.00M,100,29
"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Souveniers And Things Co.,Souveniers And Things Co.,16-07-2003,Medium,Medium,July,7,Q3,2003,16-07-2003,+61 2 9495 8555,2067,S18_3320,Vintage Cars,3,Q3,$0.00M,Vintage Cars,NSW,Shipped,APAC,2003,2003,1,99,5,10139,30,$0.00M,100,30
59 rue de l'Abbaye,,Reims,Paul,Henriot,France,Reims Collectables,Reims Collectables,Reims Collectables,10-07-2003,Medium,Medium,July,7,Q3,2003,10-07-2003,26.47.1555,51100,S18_3685,Classic Cars,3,Q3,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,141,4,10137,31,$0.01M,100,31
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,01-08-2003,Medium,Medium,August,8,Q3,2003,01-08-2003,+358 9 8045 555,FIN-02271,S24_4048,Classic Cars,3,Q3,$0.00M,Classic Cars,,Shipped,EMEA,2003,2003,1,118,1,10141,40,$0.00M,94.62,40
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,01-08-2003,Medium,Medium,August,8,Q3,2003,01-08-2003,+358 9 8045 555,FIN-02271,S18_3232,Classic Cars,3,Q3,$0.00M,Classic Cars,,Shipped,EMEA,2003,2003,1,169,9,10141,34,$0.00M,100,34
Torikatu 38,,Oulu,Pirkko,Koskitalo,Finland,"Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.",21-09-2003,Medium,Medium,September,9,Q3,2003,21-09-2003,981-443655,90110,S18_3232,Classic Cars,3,Q3,$0.00M,Classic Cars,,Shipped,EMEA,2003,2003,1,169,7,10151,21,$0.00M,100,21
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,01-07-2003,Medium,Medium,July,7,Q3,2003,01-07-2003,+33 1 46 62 7555,75508,S24_1578,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,112,3,10134,35,$0.00M,93.54,35
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,01-07-2003,Medium,Medium,July,7,Q3,2003,01-07-2003,+33 1 46 62 7555,75508,S24_2000,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,76,7,10134,43,$0.00M,83.03,43
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,28-09-2003,Medium,Medium,September,9,Q3,2003,28-09-2003,(91) 555 94 44,28034,S700_3505,Ships,3,Q3,$0.00M,Ships,,Shipped,EMEA,2003,2003,1,100,2,10153,50,$0.00M,88.15,50
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,28-09-2003,Medium,Medium,September,9,Q3,2003,28-09-2003,(91) 555 94 44,28034,S72_3212,Ships,3,Q3,$0.00M,Ships,,Shipped,EMEA,2003,2003,1,54,4,10153,50,$0.00M,60.06,50
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,28-09-2003,Medium,Medium,September,9,Q3,2003,28-09-2003,(91) 555 94 44,28034,S24_2011,Ships,3,Q3,$0.01M,Ships,,Shipped,EMEA,2003,2003,1,122,5,10153,40,$0.01M,100,40
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,01-08-2003,Medium,Medium,August,8,Q3,2003,01-08-2003,+358 9 8045 555,FIN-02271,S50_1392,Trucks&Buses,3,Q3,$0.01M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,115,3,10141,44,$0.01M,100,44
Torikatu 38,,Oulu,Pirkko,Koskitalo,Finland,"Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.",21-09-2003,Medium,Medium,September,9,Q3,2003,21-09-2003,981-443655,90110,S50_1392,Trucks&Buses,3,Q3,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,115,1,10151,26,$0.00M,100,26
Torikatu 38,,Oulu,Pirkko,Koskitalo,Finland,"Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.",21-09-2003,Medium,Medium,September,9,Q3,2003,21-09-2003,981-443655,90110,S24_2300,Trucks&Buses,3,Q3,$0.01M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,127,8,10151,42,$0.01M,100,42
Torikatu 38,,Oulu,Pirkko,Koskitalo,Finland,"Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.","Oulu Toy Supplies, Inc.",21-09-2003,Medium,Medium,September,9,Q3,2003,21-09-2003,981-443655,90110,S32_1268,Trucks&Buses,3,Q3,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,96,10,10151,27,$0.00M,100,27
